Year,Baisakh,Jestha,Ashar,Shrawan,Bhadra,Asoj,Kartik,Mangsir,Poush,Magh,Falgun,Chait
1975,31,31,32,32,31,30,30,29,30,29,30,30
1976,31,32,31,32,31,30,30,30,29,29,30,31
1977,30,32,31,32,31,30,30,30,29,30,29,31
1978,31,31,32,31,31,31,30,29,30,29,30,30
1979,31,31,32,32,31,30,30,29,30,29,30,30
1980,31,32,31,32,31,30,30,30,29,29,30,31
1981,31,31,31,32,31,31,29,30,30,29,30,30
1982,31,31,32,31,31,31,30,29,30,29,30,30
1983,31,31,32,32,31,30,30,29,30,29,30,30
1984,31,32,31,32,31,30,30,30,29,29,30,31
1985,31,31,31,32,31,31,29,30,30,29,30,30
1986,31,31,32,31,31,31,30,29,30,29,30,30
1987,31,32,31,32,31,30,30,29,30,29,30,30
1988,31,32,31,32,31,30,30,30,29,29,30,31
1989,31,31,31,32,31,31,29,30,30,29,30,30
1990,31,31,32,31,31,31,30,29,30,29,30,30
1991,31,32,31,32,31,30,30,30,29,29,30,30
1992,31,32,31,32,31,30,30,30,29,30,29,31
1993,31,31,32,31,31,31,30,29,30,29,30,30
1994,31,31,32,31,31,31,30,29,30,29,30,30
1995,31,32,31,32,31,30,30,30,29,29,30,30
1996,31,32,31,32,31,30,30,30,29,30,29,31
1997,31,31,32,31,31,31,30,29,30,29,30,30
1998,31,31,32,31,31,31,30,29,30,29,30,30
1999,31,32,31,32,31,30,30,30,29,29,30,31
2000,30,32,31,32,31,30,30,30,29,30,29,31
2001,31,31,32,31,31,31,30,29,30,29,30,30
2002,31,31,32,32,31,30,30,29,30,29,30,30
2003,31,32,31,32,31,30,30,30,29,29,30,31
2004,30,32,31,32,31,30,30,30,29,30,29,31
2005,31,31,32,31,31,31,30,29,30,29,30,30
2006,31,31,32,32,31,30,30,29,30,29,30,30
2007,31,32,31,32,31,30,30,30,29,29,30,31
2008,31,31,31,32,31,31,29,30,30,29,29,31
2009,31,31,32,31,31,31,30,29,30,29,30,30
2010,31,31,32,32,31,30,30,29,30,29,30,30
2011,31,32,31,32,31,30,30,30,29,29,30,31
2012,31,31,31,32,31,31,29,30,30,29,30,30
2013,31,31,32,31,31,31,30,29,30,29,30,30
2014,31,31,32,32,31,30,30,29,30,29,30,30
2015,31,32,31,32,31,30,30,30,29,29,30,31
2016,31,31,31,32,31,31,29,30,30,29,30,30
2017,31,31,32,31,31,31,30,29,30,29,30,30
2018,31,32,31,32,31,30,30,29,30,29,30,30
2019,31,32,31,32,31,30,30,30,29,30,29,31
2020,31,31,31,32,31,31,30,29,30,29,30,30
2021,31,31,32,31,31,31,30,29,30,29,30,30
2022,31,32,31,32,31,30,30,30,29,29,30,30
2023,31,32,31,32,31,30,30,30,29,30,29,31
2024,31,31,31,32,31,31,30,29,30,29,30,30
2025,31,31,32,31,31,31,30,29,30,29,30,30
2026,31,32,31,32,31,30,30,30,29,29,30,31
2027,30,32,31,32,31,30,30,30,29,30,29,31
2028,31,31,32,31,31,31,30,29,30,29,30,30
2029,31,31,32,31,32,30,30,29,30,29,30,30
2030,31,32,31,32,31,30,30,30,29,29,30,31
2031,30,32,31,32,31,30,30,30,29,30,29,31
2032,31,31,32,31,31,31,30,29,30,29,30,30
2033,31,31,32,32,31,30,30,29,30,29,30,30
2034,31,32,31,32,31,30,30,30,29,29,30,31
2035,30,32,31,32,31,31,29,30,30,29,29,31
2036,31,31,32,31,31,31,30,29,30,29,30,30
2037,31,31,32,32,31,30,30,29,30,29,30,30
2038,31,32,31,32,31,30,30,30,29,29,30,31
2039,31,31,31,32,31,31,29,30,30,29,30,30
2040,31,31,32,31,31,31,30,29,30,29,30,30
2041,31,31,32,32,31,30,30,29,30,29,30,30
2042,31,32,31,32,31,30,30,30,29,29,30,31
2043,31,31,31,32,31,31,29,30,30,29,30,30
2044,31,31,32,31,31,31,30,29,30,29,30,30
2045,31,32,31,32,31,30,30,29,30,29,30,30
2046,31,32,31,32,31,30,30,30,29,29,30,31
2047,31,31,31,32,31,31,30,29,30,29,30,30
2048,31,31,32,31,31,31,30,29,30,29,30,30
2049,31,32,31,32,31,30,30,30,29,29,30,30
2050,31,32,31,32,31,30,30,30,29,30,29,31
2051,31,31,31,32,31,31,30,29,30,29,30,30
2052,31,31,32,31,31,31,30,29,30,29,30,30
2053,31,32,31,32,31,30,30,30,29,29,30,30
2054,31,32,31,32,31,30,30,30,29,30,29,31
2055,31,31,32,31,31,31,30,29,30,29,30,30
2056,31,31,32,31,32,30,30,29,30,29,30,30
2057,31,32,31,32,31,30,30,30,29,29,30,31
2058,30,32,31,32,31,30,30,30,29,30,29,31
2059,31,31,32,31,31,31,30,29,30,29,30,30
2060,31,31,32,32,31,30,30,29,30,29,30,30
2061,31,32,31,32,31,30,30,30,29,29,30,31
2062,30,32,31,32,31,31,29,30,29,30,29,31
2063,31,31,32,31,31,31,30,29,30,29,30,30
2064,31,31,32,32,31,30,30,29,30,29,30,30
2065,31,32,31,32,31,30,30,30,29,29,30,31
2066,31,31,31,32,31,31,29,30,30,29,29,31
2067,31,31,32,31,31,31,30,29,30,29,30,30
2068,31,31,32,32,31,30,30,29,30,29,30,30
2069,31,32,31,32,31,30,30,30,29,29,30,31
